Name:,ORCID,Verified Scopus ID,problem
Ts Dr Chai Tong Yuen,0000-0002-9747-9120,40661042200,"ORCID,Scopus ID not in staff profile"
 Ir Dr Danny Ng Wee Kiat,0000-0001-9972-2676,57193488361,"ORCID,Scopus ID not in staff profile"
 Dr Low Jen Hahn,0000-0001-5321-6516,57214495023,Scopus ID not in staff profile
 Dr Shalini a/p Darmaraju,0000-0003-4117-5723,56023747100,"ORCID, Google Scholar, Scopus ID not in staff profile"
 Dr Gulnaziya Issabayeva,0000-0002-9845-4005,13609512600,Scopus Link in Staff page directs to ORCID
 Ir Mohd Arif Bin Musa,NA,NA,Do not have ORCID and Scopus at all
 Ir Dr Sim Lan Ching,0000-0003-4002-6726,55612830400,"ORCID, Scopus Link not working. ORCID not linked to Scopus. "
 Dr Steven Lim,0000-0001-8699-9772,35366710400,"ORCID,Scopus ID not in staff profile"
 ChM. Ts. Dr. Tee Shiau Foon,0000-0002-5089-1548,57207802878,ORCID Link in Staff page directs to Google Scholar
 Prof. Dr Thomas Chung-Kuang Yang,0000-0002-0803-8455,36985669800,Adjunct professor
 Prof. Dr Baochun Chen,NA,55904134700,Adjunct professor
 Ir. Prof. Dr. Khoo Hooi Ling @ Lai Hooi Ling,0000-0002-7234-190X,22938118900,"ORCID, Scopus ID link in staff page is not working"
 Ms Lam Foong Sin,0000-0002-0662-1436,57208646895,ORCID not linked with Scopus.
 Ir Ts Dr Tan Ooi Kuan,0000-0003-1872-3699,57217246926,No scopus link in staff profile
 Prof. Dr Yasuo Tanaka,0009-0006-3223-4989,55736279400,Adjunct professor
 Prof. Dr Bala Venkatesh,0000-0002-0392-6269,7006518081,No links in staff profile
 Prof. Dr Chen Haoyong,0000-0002-7486-2020,8720685700,Adjunct professor
 Ir. Academician Emeritus Prof. Tan Sri Dato' Seri Dr. Chuah Hean Teik,0000-0002-3882-5724,7005188026,No links in staff profile
 Ir. Prof. Dato' Dr. Ewe Hong Tat,0000-0002-5195-1127,55663557100,"No links in staff profile, ORCID not links to Scopus"
 Prof Ts Dr Faidz bin Abd Rahman,0000-0003-0964-9589,57210423924,No links in staff profile
 Ts Liew Choon Lian,NA,NA,
 Prof. Dr Loo Kok Keong,0000-0002-2197-8126,36652697900,Adjunct professor
 Prof. Dr Mirza Salim Beg,0000-0001-9434-3917,7102797370,Adjunct professor
 Ts Dr See Yuen Chark,0000-0002-0794-849X,56039675500,Links in staff page not working
 Ir Ts Dr Tham Mau Luen,0000-0003-4600-9839,55277448200,Adjunct professor
 Dr Toh Chia Ming,0000-0001-8676-5116,57201580284,ORCID not linked with Scopus.
 Prof. Dr Yan Lei,NA,NA,
 Puan Azimah Binti Mohd,0000-0002-0411-5644,58962466100,Links in staff page not working
 Prof. Dr Chia Gek Ling,0000-0002-4099-5212,55914572800,Adjunct professor
 Mr Phoon Sheong Wei,0000-0003-4642-2367,57937358900,
 Mr Tan Zong Ming,0000-0002-2809-6089,NA,
 Dr Ananthan a/l Valitherm,0000-0001-5724-8670,NA,
 Dr Chia Fah Choy,0000-0001-5875-4858,54900105700,
 Mr Leong Chung Sum,0000-0001-6132-3741,NA,
 Sr Mazianah Binti Rahmat,0000-0002-2988-7819,NA,
 Ts Naziatul Syima Binti Mahbob,0000-0003-0097-385X,NA,
 Dr Nur Aqlima Binti Ramli,0000-0003-0544-1801,NA,
 Sr Nurdiana Binti Azmi,0000-0002-4602-0491,NA,
 Sr Nurhayatul Khursniah Binti Hasim @ Mohamad Salleh,0000-0002-0993-6273,NA,
 Cik Roslinda Binti Rosly,0000-0001-9163-0304,NA,
 Cik Siti Solehah Binti Kadir,0000-0002-4472-0726,NA,
 Cik Umi Kalsom Binti Ariffin,0000-0001-9466-151X,NA,
 Ir Dr Wang Hong Kok,000-0001-5965-6475,57371685100,
 Sr Wee Yu Ni,NA,NA,
 Sr Zamharira Binti Sulaiman,0000-0002-2956-0517,NA,
 Ts Dr Tan Kok Hong,0000-0001-8166-6864,NA,
 Ts Yeow Kah Niam,NA,NA,
 Encik Abdul Rahim Bin Mohd Zin,NA,NA,
 Ar. IDr. David Yek Tak Wai,NA,NA,
 Mr Fernando Paulo Da Costa Andrade,0000-0002-1454-3140,NA,
 Ts Leong Hung Sek,NA,NA,
 Dr Lim Poh Im,NA,NA,
 Mr Lim Yekey,NA,NA,
 Ms Rahmawaty,NA,NA,
 Mr Tan Yong Ann,NA,NA,
 Mr Tew Bun Teck,NA,NA,
 Ts Tsao Khee Ern,0000-0001-8536-9277,NA,
 Ts Dr Wong Yee Choong,0000-0001-6048-4885,57202646410,ORCID not linked with Scopus.
 Mr Yong Song Zhe,NA,NA,No links in staff profile
 Dr Faranak Nejati,0000-0001-8871-6211,57201011346,ORCID not linked with Scopus.
 Mr Kelwin Tan Seen Tiong,0009-0007-0734-1739,57193720365,
 Dr Noor Jamaliah binti Ibrahim,0009-0008-9600-3869,55894045900,
 Ts Dr Sugumaran a/l Nallusamy,0000-0003-2332-4326,57372696600,No scopus link in staff profile
 Prof. Dr Andy Chit Tan,0000-0003-1222-6800,15137426100,Adjunct professor
 Dr Jeffrey Chin Kong Leong,0000-0002-3959-4198,57000142000,
 Ir Dr Kuan Seng How,0000-0002-1115-3761,57114634300,
 Ir Dr Liang Meng Suan,NA,35105219200,
 Dr Rubentheren a/l Viyapuri,0000-0003-3346-7240,57156456900,
 Prof. Dr Tan Choon Sooi,NA,7402818144,
 Ir Dr Tey Jing Yuen,0000-0002-9888-0397,56042122900,
 Dr Wong Hong Mun,0009-0004-2322-5007,60054769800,
