"Journal Data Filtered By:  Selected Editions: SCIE;SSCI;AHCI;ESCI Selected JCR Year: 2020 Selected Category Schema: WOS Selected Open Access: N Indicator: Default"

Journal name,JCR Abbreviation,Publisher,ISSN,eISSN,Category,Edition,Total Citations,2020 JIF,JIF Quartile,2020 JCI,% of Citable OA
"CA-A CANCER JOURNAL FOR CLINICIANS","CA-CANCER J CLIN","WILEY","0007-9235","1542-4863","ONCOLOGY","SCIE","55,868","508.702","Q1","77.64","100"%,
"NATURE REVIEWS MOLECULAR CELL BIOLOGY","NAT REV MOL CELL BIO","NATURE RESEARCH","1471-0072","1471-0080","CELL BIOLOGY","SCIE","58,477","94.444","Q1","7.01","1.4"%,
"NEW ENGLAND JOURNAL OF MEDICINE","NEW ENGL J MED","MASSACHUSETTS MEDICAL SOC","0028-4793","1533-4406","MEDICINE, GENERAL & INTERNAL","SCIE","464,376","91.253","Q1","26.14","0"%,
"NATURE REVIEWS DRUG DISCOVERY","NAT REV DRUG DISCOV","NATURE RESEARCH","1474-1776","1474-1784","BIOTECHNOLOGY & APPLIED MICROBIOLOGY","SCIE","41,993","84.694","Q1","10.86","0.88"%,
"NATURE REVIEWS DRUG DISCOVERY","NAT REV DRUG DISCOV","NATURE RESEARCH","1474-1776","1474-1784","PHARMACOLOGY & PHARMACY","SCIE","41,993","84.694","Q1","10.86","0.88"%,
"LANCET","LANCET","ELSEVIER SCIENCE INC","0140-6736","1474-547X","MEDICINE, GENERAL & INTERNAL","SCIE","369,614","79.323","Q1","20.05","22.81"%,
"Nature Reviews Clinical Oncology","NAT REV CLIN ONCOL","NATURE RESEARCH","1759-4774","1759-4782","ONCOLOGY","SCIE","17,973","66.675","Q1","7.72","4.38"%,
"Nature Reviews Materials","NAT REV MATER","NATURE RESEARCH","2058-8437","2058-8437","MATERIALS SCIENCE, MULTIDISCIPLINARY","SCIE","19,887","66.308","Q1","4.06","1.91"%,
"Nature Reviews Materials","NAT REV MATER","NATURE RESEARCH","2058-8437","2058-8437","NANOSCIENCE & NANOTECHNOLOGY","SCIE","19,887","66.308","Q1","4.06","1.91"%,
"Nature Energy","NAT ENERGY","NATURE RESEARCH","2058-7546","2058-7546","ENERGY & FUELS","SCIE","28,166","60.858","Q1","8.15","0.32"%,
"Nature Energy","NAT ENERGY","NATURE RESEARCH","2058-7546","2058-7546","MATERIALS SCIENCE, MULTIDISCIPLINARY","SCIE","28,166","60.858","Q1","8.15","0.32"%,
"NATURE REVIEWS CANCER","NAT REV CANCER","NATURE RESEARCH","1474-175X","1474-1768","ONCOLOGY","SCIE","62,391","60.716","Q1","7.64","0.68"%,
"NATURE REVIEWS MICROBIOLOGY","NAT REV MICROBIOL","NATURE RESEARCH","1740-1526","1740-1534","MICROBIOLOGY","SCIE","43,314","60.633","Q1","5.03","3.95"%,
"CHEMICAL REVIEWS","CHEM REV","AMER CHEMICAL SOC","0009-2665","1520-6890","CHEMISTRY, MULTIDISCIPLINARY","SCIE","224,417","60.622","Q1","3.56","13.71"%,
"MMWR Surveillance Summaries","MMWR SURVEILL SUMM","CENTERS DISEASE CONTROL & PREVENTION","1545-8636","1545-8636","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SCIE","3,806","58.769","Q1","14.38","51.43"%,
"JAMA-JOURNAL OF THE AMERICAN MEDICAL ASSOCIATION","JAMA-J AM MED ASSOC","AMER MEDICAL ASSOC","0098-7484","1538-3598","MEDICINE, GENERAL & INTERNAL","SCIE","224,165","56.274","Q1","11.49","1.31"%,
"MMWR Recommendations and Reports","MMWR RECOMM REP","CENTERS DISEASE CONTROL & PREVENTION","1057-5987","1545-8601","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SCIE","3,288","55.857","Q1","21.16","88.24"%,
