Journal name,JCR Abbreviation,Publisher,ISSN,eISSN,Category,Edition,Total Citations,2022 JIF,JIF Quartile,2022 JCI,% of Citable OA
STUDIES IN PHILOSOPHY AND EDUCATION,STUD PHILOS EDUC,SPRINGER,0039-3746,1573-191X,EDUCATION & EDUCATIONAL RESEARCH,SSCI,816,1,Q4,1.33,32.80%
STUDIES IN HISTORY AND PHILOSOPHY OF SCIENCE,STUD HIST PHILOS SCI,ELSEVIER SCI LTD,0039-3681,1879-2510,HISTORY & PHILOSOPHY OF SCIENCE,SCIE,"1,748",1,Q2,0.96,21.24%
STUDIES IN HISTORY AND PHILOSOPHY OF SCIENCE,STUD HIST PHILOS SCI,ELSEVIER SCI LTD,0039-3681,1879-2510,HISTORY & PHILOSOPHY OF SCIENCE,SSCI,"1,748",1,Q2,0.96,21.24%
JOURNAL OF HISTORICAL GEOGRAPHY,J HIST GEOGR,ACADEMIC PRESS LTD- ELSEVIER SCIENCE LTD,0305-7488,1095-8614,GEOGRAPHY,SSCI,792,1,Q4,0.89,22.58%
JOURNAL OF HISTORICAL GEOGRAPHY,J HIST GEOGR,ACADEMIC PRESS LTD- ELSEVIER SCIENCE LTD,0305-7488,1095-8614,HISTORY OF SOCIAL SCIENCES,SSCI,792,1,Q1,0.89,22.58%
ACTA MATHEMATICA SCIENTIA,ACTA MATH SCI,SPRINGER,0252-9602,1572-9087,MATHEMATICS,SCIE,"1,873",1,Q2,0.88,0%
EUROPEAN JOURNAL OF COMBINATORICS,EUR J COMBIN,ACADEMIC PRESS LTD- ELSEVIER SCIENCE LTD,0195-6698,1095-9971,MATHEMATICS,SCIE,"2,880",1,Q2,0.87,18.03%
FINITE FIELDS AND THEIR APPLICATIONS,FINITE FIELDS TH APP,ACADEMIC PRESS INC ELSEVIER SCIENCE,1071-5797,1090-2465,MATHEMATICS,SCIE,"1,638",1,Q2,0.87,10.93%
FINITE FIELDS AND THEIR APPLICATIONS,FINITE FIELDS TH APP,ACADEMIC PRESS INC ELSEVIER SCIENCE,1071-5797,1090-2465,"MATHEMATICS, APPLIED",SCIE,"1,638",1,Q3,0.87,10.93%
POSITIVITY,POSITIVITY,SPRINGER,1385-1292,1572-9281,MATHEMATICS,SCIE,885,1,Q2,0.84,11.97%
ZOOMORPHOLOGY,ZOOMORPHOLOGY,SPRINGER,0720-213X,1432-234X,ANATOMY & MORPHOLOGY,SCIE,"1,021",1,Q4,0.68,32.46%
ZOOMORPHOLOGY,ZOOMORPHOLOGY,SPRINGER,0720-213X,1432-234X,ZOOLOGY,SCIE,"1,021",1,Q3,0.68,32.46%
ANNALI DI MATEMATICA PURA ED APPLICATA,ANN MAT PUR APPL,SPRINGER HEIDELBERG,0373-3114,1618-1891,MATHEMATICS,SCIE,"2,658",1,Q2,0.66,27.40%
ANNALI DI MATEMATICA PURA ED APPLICATA,ANN MAT PUR APPL,SPRINGER HEIDELBERG,0373-3114,1618-1891,"MATHEMATICS, APPLIED",SCIE,"2,658",1,Q3,0.66,27.40%
Annals of Functional Analysis,ANN FUNCT ANAL,SPRINGER BASEL AG,2639-7390,2008-8752,MATHEMATICS,SCIE,412,1,Q2,0.66,8.22%
Annals of Functional Analysis,ANN FUNCT ANAL,SPRINGER BASEL AG,2639-7390,2008-8752,"MATHEMATICS, APPLIED",SCIE,412,1,Q3,0.66,8.22%
Statistical Methods and Applications,STAT METHOD APPL-GER,SPRINGER HEIDELBERG,1618-2510,1613-981X,STATISTICS & PROBABILITY,SCIE,659,1,Q3,0.54,31.22%
European Physical Journal H,EUR PHYS J H,SPRINGER HEIDELBERG,2102-6459,2102-6467,HISTORY & PHILOSOPHY OF SCIENCE,SCIE,230,1,Q2,0.52,44.23%
European Physical Journal H,EUR PHYS J H,SPRINGER HEIDELBERG,2102-6459,2102-6467,"PHYSICS, MULTIDISCIPLINARY",SCIE,230,1,Q4,0.52,44.23%
JNP- The Journal for Nurse Practitioners,JNP-J NURSE PRACT,ELSEVIER SCIENCE INC,1555-4155,1878-058X,NURSING,SCIE,"1,194",1,Q4,0.51,4.32%
JNP- The Journal for Nurse Practitioners,JNP-J NURSE PRACT,ELSEVIER SCIENCE INC,1555-4155,1878-058X,NURSING,SSCI,"1,194",1,Q4,0.51,4.32%
ANNALS OF THE INSTITUTE OF STATISTICAL MATHEMATICS,ANN I STAT MATH,SPRINGER HEIDELBERG,0020-3157,1572-9052,STATISTICS & PROBABILITY,SCIE,"2,191",1,Q3,0.49,0%
Education and Treatment of Children,EDUC TREAT CHILD,SPRINGERNATURE,0748-8491,1934-8924,"EDUCATION, SPECIAL",SSCI,"1,129",1,Q4,0.49,0%
Education and Treatment of Children,EDUC TREAT CHILD,SPRINGERNATURE,0748-8491,1934-8924,REHABILITATION,SSCI,"1,129",1,Q4,0.49,0%
JOURNAL OF INSECT BEHAVIOR,J INSECT BEHAV,SPRINGER/PLENUM PUBLISHERS,0892-7553,1572-8889,ENTOMOLOGY,SCIE,"1,493",1,Q3,0.49,22.54%
MATHEMATICAL PHYSICS ANALYSIS AND GEOMETRY,MATH PHYS ANAL GEOM,SPRINGER,1385-0172,1572-9656,"MATHEMATICS, APPLIED",SCIE,442,1,Q3,0.46,33.91%
MATHEMATICAL PHYSICS ANALYSIS AND GEOMETRY,MATH PHYS ANAL GEOM,SPRINGER,1385-0172,1572-9656,"PHYSICS, MATHEMATICAL",SCIE,442,1,Q3,0.46,33.91%
SCHMERZ,SCHMERZ,SPRINGER HEIDELBERG,0932-433X,1432-2129,ANESTHESIOLOGY,SCIE,843,1,Q4,0.44,32.30%
SCHMERZ,SCHMERZ,SPRINGER HEIDELBERG,0932-433X,1432-2129,CLINICAL NEUROLOGY,SCIE,843,1,Q4,0.44,32.30%
ANNALES DE PALEONTOLOGIE,ANN PALEONTOL,MASSON EDITEUR,0753-3969,1778-3666,PALEONTOLOGY,SCIE,475,1,Q4,0.43,24.24%
Notfall & Rettungsmedizin,NOTFALL RETTUNGSMED,SPRINGER,1434-6222,1436-0578,EMERGENCY MEDICINE,SCIE,603,1,Q4,0.42,27.68%
JOURNAL OF COMBINATORIAL OPTIMIZATION,J COMB OPTIM,SPRINGER,1382-6905,1573-2886,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS",SCIE,"1,895",1,Q4,0.4,7.81%
JOURNAL OF COMBINATORIAL OPTIMIZATION,J COMB OPTIM,SPRINGER,1382-6905,1573-2886,"MATHEMATICS, APPLIED",SCIE,"1,895",1,Q3,0.4,7.81%
INTERNATIONAL TAX AND PUBLIC FINANCE,INT TAX PUBLIC FINAN,SPRINGER,0927-5940,1573-6970,ECONOMICS,SSCI,"1,485",1,Q4,0.39,32.71%
Pathologie,PATHOLOGIE,SPRINGER HEIDELBERG,2731-7188,2731-7196,PATHOLOGY,SCIE,774,1,Q4,0.38,21.90%
Indian Journal of Orthopaedics,INDIAN J ORTHOP,SPRINGER HEIDELBERG,0019-5413,1998-3727,ORTHOPEDICS,SCIE,"2,217",1,Q4,0.37,5.36%
HUMAN STUDIES,HUM STUD,SPRINGER,0163-8548,1572-851X,ETHICS,SSCI,"1,014",1,Q3,0.32,41.23%
HUMAN STUDIES,HUM STUD,SPRINGER,0163-8548,1572-851X,SOCIOLOGY,SSCI,"1,014",1,Q4,0.32,41.23%
Algorithms for Molecular Biology,ALGORITHM MOL BIOL,BMC,N/A,1748-7188,BIOCHEMICAL RESEARCH METHODS,SCIE,859,1,Q4,0.31,100%
Algorithms for Molecular Biology,ALGORITHM MOL BIOL,BMC,N/A,1748-7188,BIOTECHNOLOGY & APPLIED MICROBIOLOGY,SCIE,859,1,Q4,0.31,100%
Algorithms for Molecular Biology,ALGORITHM MOL BIOL,BMC,N/A,1748-7188,MATHEMATICAL & COMPUTATIONAL BIOLOGY,SCIE,859,1,Q4,0.31,100%
INFORMATION AND COMPUTATION,INFORM COMPUT,ACADEMIC PRESS INC ELSEVIER SCIENCE,0890-5401,1090-2651,"COMPUTER SCIENCE, THEORY & METHODS",SCIE,"2,631",1,Q4,0.31,20.50%
INFORMATION AND COMPUTATION,INFORM COMPUT,ACADEMIC PRESS INC ELSEVIER SCIENCE,0890-5401,1090-2651,"MATHEMATICS, APPLIED",SCIE,"2,631",1,Q3,0.31,20.50%
ZEITSCHRIFT FUR RHEUMATOLOGIE,Z RHEUMATOL,SPRINGER HEIDELBERG,0340-1855,1435-1250,RHEUMATOLOGY,SCIE,"1,146",1,Q4,0.31,25.27%
EUROPEAN REVIEW OF APPLIED PSYCHOLOGY-REVUE EUROPEENNE DE PSYCHOLOGIE APPLIQUEE,EUR REV APPL PSYCHOL,ELSEVIER FRANCE-EDITIONS SCIENTIFIQUES MEDICALES ELSEVIER,1162-9088,1162-9088,"PSYCHOLOGY, APPLIED",SSCI,815,1,Q4,0.3,32.11%
APPLIED MAGNETIC RESONANCE,APPL MAGN RESON,SPRINGER WIEN,0937-9347,1613-7507,"PHYSICS, ATOMIC, MOLECULAR & CHEMICAL",SCIE,"1,624",1,Q4,0.29,18.77%
APPLIED MAGNETIC RESONANCE,APPL MAGN RESON,SPRINGER WIEN,0937-9347,1613-7507,SPECTROSCOPY,SCIE,"1,624",1,Q4,0.29,18.77%
Chemosensory Perception,CHEMOSENS PERCEPT,SPRINGER,1936-5802,1936-5810,FOOD SCIENCE & TECHNOLOGY,SCIE,458,1,Q4,0.28,41.30%
Chemosensory Perception,CHEMOSENS PERCEPT,SPRINGER,1936-5802,1936-5810,NEUROSCIENCES,SCIE,458,1,Q4,0.28,41.30%
THEORETICAL AND MATHEMATICAL PHYSICS,THEOR MATH PHYS+,MAIK NAUKA/INTERPERIODICA/SPRINGER,0040-5779,1573-9333,"PHYSICS, MATHEMATICAL",SCIE,"2,623",1,Q3,0.28,0%
THEORETICAL AND MATHEMATICAL PHYSICS,THEOR MATH PHYS+,MAIK NAUKA/INTERPERIODICA/SPRINGER,0040-5779,1573-9333,"PHYSICS, MULTIDISCIPLINARY",SCIE,"2,623",1,Q4,0.28,0%
IZVESTIYA-PHYSICS OF THE SOLID EARTH,IZV-PHYS SOLID EART+,MAIK NAUKA/INTERPERIODICA/SPRINGER,1069-3513,1555-6506,GEOCHEMISTRY & GEOPHYSICS,SCIE,"1,045",1,Q4,0.26,6.88%
Revista Brasileira de Anestesiologia,REV BRAS ANESTESIOL,ELSEVIER SCIENCE INC,0034-7094,1806-907X,ANESTHESIOLOGY,SCIE,"1,234",1,Q4,0.25,90%
POLYMER SCIENCE SERIES A,POLYM SCI SER A+,MAIK NAUKA/INTERPERIODICA/SPRINGER,0965-545X,1555-6107,POLYMER SCIENCE,SCIE,"1,853",1,Q4,0.22,2.28%
POWDER METALLURGY AND METAL CERAMICS,POWDER METALL MET C+,SPRINGER,1068-1302,1573-9066,"MATERIALS SCIENCE, CERAMICS",SCIE,"1,094",1,Q3,0.2,0%
POWDER METALLURGY AND METAL CERAMICS,POWDER METALL MET C+,SPRINGER,1068-1302,1573-9066,METALLURGY & METALLURGICAL ENGINEERING,SCIE,"1,094",1,Q4,0.2,0%
RUSSIAN JOURNAL OF BIOORGANIC CHEMISTRY,RUSS J BIOORG CHEM+,MAIK NAUKA/INTERPERIODICA/SPRINGER,1068-1620,1608-330X,BIOCHEMISTRY & MOLECULAR BIOLOGY,SCIE,"1,338",1,Q4,0.2,5.78%
RUSSIAN JOURNAL OF BIOORGANIC CHEMISTRY,RUSS J BIOORG CHEM+,MAIK NAUKA/INTERPERIODICA/SPRINGER,1068-1620,1608-330X,"CHEMISTRY, ORGANIC",SCIE,"1,338",1,Q4,0.2,5.78%
Water Resources,WATER RESOUR+,MAIK NAUKA/INTERPERIODICA/SPRINGER,0097-8078,1608-344X,WATER RESOURCES,SCIE,"1,282",1,Q4,0.2,1.20%
Theoretical and Experimental Chemistry,THEOR EXP CHEM+,SPRINGER,0040-5760,1573-935X,"CHEMISTRY, MULTIDISCIPLINARY",SCIE,508,1,Q4,0.15,0%
HIGH TEMPERATURE,HIGH TEMP+,MAIK NAUKA/INTERPERIODICA/SPRINGER,0018-151X,1608-3156,"PHYSICS, APPLIED",SCIE,"1,785",1,Q4,0.14,0%
