Journal name,JCR Abbreviation,Publisher,ISSN,eISSN,Category,Edition,Total Citations,2024 JIF,JIF Quartile,2024 JCI,% of Citable OA,Upper Name
Cliometrica,CLIOMETRICA,SPRINGER HEIDELBERG,1863-2505,1863-2513,HISTORY,"AHCI, SSCI",313,0.7,Q1,1.73,57.14%,CLIOMETRICA
ADVANCES IN MATHEMATICS,ADV MATH,ACADEMIC PRESS INC ELSEVIER SCIENCE,0001-8708,1090-2082,MATHEMATICS,SCIE,"14,749",1.5,Q1,1.33,25.48%,ADVANCES IN MATHEMATICS
Cultural Studies of Science Education,CULT STUD SCI EDUCAT,SPRINGER,1871-1502,1871-1510,CULTURAL STUDIES,"AHCI, SSCI","1,358",1.5,Q1,1.28,36.30%,CULTURAL STUDIES OF SCIENCE EDUCATION
Feminist Legal Studies,FEM LEGAL STUD,SPRINGER,0966-3622,1572-8455,LAW,SSCI,535,1.5,Q1,1.96,63.04%,FEMINIST LEGAL STUDIES
Japanese Journal of Mathematics,JPN J MATH,SPRINGER,0289-2316,1861-3624,MATHEMATICS,SCIE,567,1.5,Q1,1.67,0%,JAPANESE JOURNAL OF MATHEMATICS
JOURNAL OF GEOMETRIC ANALYSIS,J GEOM ANAL,SPRINGER,1050-6926,1559-002X,MATHEMATICS,SCIE,"3,240",1.5,Q1,1.19,23.64%,JOURNAL OF GEOMETRIC ANALYSIS
NanoEthics,NANOETHICS,SPRINGER,1871-4757,1871-4765,HISTORY & PHILOSOPHY OF SCIENCE,"SCIE, SSCI",395,1.5,Q1,0.84,82.22%,NANOETHICS
Analysis and Mathematical Physics,ANAL MATH PHYS,SPRINGER BASEL AG,1664-2368,1664-235X,MATHEMATICS,SCIE,"1,068",1.6,Q1,1.19,21.66%,ANALYSIS AND MATHEMATICAL PHYSICS
JOURNAL OF FUNCTIONAL ANALYSIS,J FUNCT ANAL,ACADEMIC PRESS INC ELSEVIER SCIENCE,0022-1236,1096-0783,MATHEMATICS,SCIE,"13,833",1.6,Q1,1.35,26.32%,JOURNAL OF FUNCTIONAL ANALYSIS
Revista de la Real Academia de Ciencias Exactas Fisicas y Naturales Serie A-Matematicas,RACSAM REV R ACAD A,SPRINGER-VERLAG ITALIA SRL,1578-7303,1579-1505,MATHEMATICS,SCIE,"2,081",1.6,Q1,1.88,32.36%,REVISTA DE LA REAL ACADEMIA DE CIENCIAS EXACTAS FISICAS Y NATURALES SERIE A-MATEMATICAS
