Position,Institution,Country/territory,Count,Share
1,Chinese Academy of Sciences (CAS),China,10958,3143.880852
2,Harvard University,United States of America (USA),3854,1130.204456
3,University of Science and Technology of China (USTC),China,3171,989.7234578
4,Zhejiang University (ZJU),China,2479,964.884194
5,Peking University (PKU),China,3605,895.6813585
6,Tsinghua University,China,3054,889.2256929
7,University of Chinese Academy of Sciences (UCAS),China,4429,885.2800132
8,Shanghai Jiao Tong University (SJTU),China,2483,838.9362604
9,Nanjing University (NJU),China,2146,814.8323208
10,Fudan University,China,2269,772.4626378
11,Max Planck Society,Germany,3018,747.5355372
12,Sichuan University (SCU),China,1367,738.6693983
13,Sun Yat-sen University (SYSU),China,1776,677.9688094
14,French National Centre for Scientific Research (CNRS),France,4853,673.4154836
15,Stanford University,United States of America (USA),2064,611.5849273
16,Helmholtz Association of German Research Centres,Germany,3033,600.3186057
17,Jilin University (JLU),China,1092,532.5230636
18,Massachusetts Institute of Technology (MIT),United States of America (USA),2200,521.2341338
19,Huazhong University of Science and Technology (HUST),China,1139,501.4600965
20,Nankai University (NKU),China,1334,483.2587609
21,Shandong University (SDU),China,1429,463.9670096
22,Wuhan University (WHU),China,1058,462.6726222
23,The University of Tokyo (UTokyo),Japan,1341,454.9672623
24,Southern University of Science and Technology (SUSTech),China,1223,447.0221725
25,University of Oxford,United Kingdom (UK),1795,440.7788997
26,Soochow University,China,978,432.2009667
27,National Institutes of Health (NIH),United States of America (USA),1205,423.8888073
28,Xiamen University (XMU),China,944,420.2879259
29,Xi'an Jiaotong University (XJTU),China,938,407.204011
30,University of Cambridge,United Kingdom (UK),1520,397.7127922
31,Central South University (CSU),China,886,394.5004247
32,Swiss Federal Institute of Technology Zurich (ETH Zurich),Switzerland,1151,385.2866624
33,South China University of Technology (SCUT),China,830,381.3353821
34,University of Toronto (U of T),Canada,1258,377.5230852
35,Tianjin University (TJU),China,1228,376.6928937
36,"University of California, San Diego (UC San Diego)",United States of America (USA),1188,374.6067274
37,Yale University,United States of America (USA),1359,373.9349512
38,University of Michigan (U-M),United States of America (USA),1401,372.2902733
39,"University of California, Los Angeles (UCLA)",United States of America (USA),1357,368.9578447
40,University of Pennsylvania (Penn),United States of America (USA),1248,366.4280896
41,Tongji University,China,1033,365.3557425
42,"University of California, Berkeley (UC Berkeley)",United States of America (USA),1468,361.9993256
43,Cornell University,United States of America (USA),1233,343.564182
44,Johns Hopkins University (JHU),United States of America (USA),1450,341.3119071
45,Northwestern University (NU),United States of America (USA),1017,339.4942818
46,Hunan University (HNU),China,713,336.2459043
47,Harbin Institute of Technology (HIT),China,726,336.1410412
48,Columbia University in the City of New York (CU),United States of America (USA),1289,333.3173415
49,National University of Singapore (NUS),Singapore,1224,327.5371617
50,University of Washington (UW),United States of America (USA),1474,327.1628359
51,Zhengzhou University (ZZU),China,950,326.4369909
52,Beijing Institute of Technology (BIT),China,757,322.263406
53,Princeton University,United States of America (USA),1037,310.1949412
54,Dalian University of Technology (DUT),China,560,309.0415686
55,Kyoto University,Japan,873,301.7991242
56,Lanzhou University (LZU),China,682,288.4876889
57,The University of Chicago (UChicago),United States of America (USA),1123,286.2096313
58,Seoul National University (SNU),South Korea,757,272.4916512
59,Imperial College London (ICL),United Kingdom (UK),1256,268.1697225
60,Chongqing University (CQU),China,669,267.9310269
61,The University of Texas at Austin (UT Austin),United States of America (USA),903,264.1001462
62,Washington University in St. Louis (WUSTL),United States of America (USA),867,263.6211114
63,Beijing University of Chemical Technology (BUCT),China,539,262.4144302
64,California Institute of Technology (Caltech),United States of America (USA),990,261.77705
65,Shenzhen University (SZU),China,688,253.4577632
66,University of Wisconsin-Madison (UW-Madison),United States of America (USA),1014,253.4113581
67,New York University (NYU),United States of America (USA),875,247.7890777
68,Beijing Normal University (BNU),China,897,247.3245717
69,City University of Hong Kong (CityU),China,829,246.6152605
70,"University of California, San Francisco (UCSF)",United States of America (USA),988,244.9823574
71,UCL,United Kingdom (UK),1319,243.4947396
72,Southeast University (SEU),China,703,242.3551258
73,Spanish National Research Council (CSIC),Spain,1700,239.2359669
74,Fuzhou University (FZU),China,595,238.3957506
75,Duke University,United States of America (USA),983,238.1228435
76,East China Normal University (ECNU),China,735,233.4041282
77,East China University of Science and Technology (ECUST),China,605,231.4761294
78,The University of Hong Kong (HKU),China,1140,231.4235541
79,Nanyang Technological University (NTU),Singapore,795,230.6361519
80,University of Minnesota (UMN),United States of America (USA),933,229.2514351
81,Northwestern Polytechnical University (NPU),China,552,225.3383058
82,Swiss Federal Institute of Technology Lausanne (EPFL),Switzerland,713,225.1467563
83,University of Copenhagen (UCPH),Denmark,1013,222.7819219
84,Korea Advanced Institute of Science and Technology (KAIST),South Korea,503,222.6064198
85,People's Liberation Army (PLA),China,1021,222.5813881
86,Leibniz Association,Germany,1378,216.9169146
87,The Hong Kong University of Science and Technology (HKUST),China,1034,210.7642744
88,Beihang University (BUAA),China,816,210.5946404
89,Donghua University (DHU),China,510,208.7443538
90,McGill University,Canada,772,204.8728119
91,University of Illinois at Urbana-Champaign (UIUC),United States of America (USA),721,202.9160361
92,University of Pittsburgh (Pitt),United States of America (USA),901,200.1629469
93,Technical University of Munich (TUM),Germany,885,195.2409595
94,The Pennsylvania State University (Penn State),United States of America (USA),767,188.9192232
95,Nanjing Tech University (NanjingTech),China,459,188.0894547
96,University of Colorado Boulder (CU-Boulder),United States of America (USA),879,185.9894142
97,University of Southern California (USC),United States of America (USA),624,185.0732914
98,National Institute for Nuclear Physics (INFN),Italy,868,179.9300561
99,University of Electronic Science and Technology of China (UESTC),China,482,178.6959655
100,Tohoku University,Japan,733,176.5075809
101,Qingdao University of Science and Technology (QUST),China,279,173.939803
102,Ludwig Maximilians University of Munich (LMU),Germany,864,173.8488685
103,Lawrence Berkeley National Laboratory (LBNL),United States of America (USA),839,173.655441
104,The University of Texas Southwestern Medical Center (UT Southwestern Medical Center),United States of America (USA),495,171.6399704
105,Jinan University (JNU),China,395,171.6190341
106,The University of Osaka (UOsaka),Japan,548,170.4353047
107,"University of California, Santa Barbara (UCSB)",United States of America (USA),568,170.134583
108,Emory University,United States of America (USA),648,169.7677199
109,Yangzhou University (YZU),China,410,168.0444827
110,The University of North Carolina at Chapel Hill (UNC),United States of America (USA),809,167.861931
111,The University of British Columbia (UBC),Canada,713,167.7443434
112,"University of California, Irvine (UCI)",United States of America (USA),562,166.918461
113,Shanghai University (SHU),China,450,166.5284476
114,The Ohio State University (OSU),United States of America (USA),862,166.228941
115,The University of Edinburgh,United Kingdom (UK),826,166.0903935
116,Westlake University,China,439,165.6010145
117,Nanchang University (NCU),China,389,165.1393306
118,The Chinese University of Hong Kong (CUHK),China,779,164.6336143
119,Chinese Academy of Medical Sciences & Peking Union Medical College (CAMS & PUMC),China,897,164.6006503
120,China University of Geosciences (CUG),China,550,164.2514349
121,"University of California, Davis (UC Davis)",United States of America (USA),644,163.8488697
122,Purdue University,United States of America (USA),449,163.7507671
123,Russian Academy of Sciences (RAS),Russia,496,163.4568808
124,Weizmann Institute of Science (WIS),Israel,419,161.7931645
125,Monash University,Australia,817,160.5725367
126,The University of Manchester (UoM),United Kingdom (UK),763,158.3537457
127,ShanghaiTech University,China,507,158.3375347
128,Nanjing University of Science and Technology (NUST),China,332,158.089554
129,Qingdao University (QU),China,320,157.9433237
130,University of Science and Technology Beijing (USTB),China,361,157.3981439
131,The Hong Kong Polytechnic University (PolyU),China,660,156.9961142
132,University of Florida (UF),United States of America (USA),817,154.1996313
133,Texas A&M University (TAMU),United States of America (USA),667,153.7835765
134,Karolinska Institute (KI),Sweden,766,153.5622196
135,Henan University (HENU),China,511,152.309014
136,RIKEN,Japan,685,152.1200602
137,The University of Queensland (UQ),Australia,644,150.543413
138,Vanderbilt University (VU),United States of America (USA),745,150.2360044
139,University of Zurich (UZH),Switzerland,750,149.9113742
140,Anhui University (AHU),China,378,146.9079652
141,Northeast Normal University (NENU),China,254,146.2013791
142,Heidelberg University (Uni Heidelberg),Germany,769,145.5788465
143,Southwest University (SWU),China,275,143.5813518
144,South China Normal University (SCNU),China,544,141.4529967
145,King Abdullah University of Science and Technology (KAUST),Saudi Arabia,340,140.810989
146,The University of Melbourne (UniMelb),Australia,836,140.604731
147,Aarhus University (AU),Denmark,486,140.5009206
148,Institute of Science Tokyo (Science Tokyo),Japan,460,140.1991509
149,Yonsei University,South Korea,568,140.1766628
150,Catholic University of Leuven (KU Leuven),Belgium,549,139.7212465
151,Indiana University (IU),United States of America (USA),745,139.3715726
152,Guangdong University of Technology (GDUT),China,385,139.1749556
153,Jiangnan University,China,303,138.7216799
154,Mount Sinai Health System (MSHS),United States of America (USA),668,138.7079805
155,Mayo Clinic,United States of America (USA),513,138.6095976
156,Zhejiang University of Technology (ZJUT),China,310,138.1741341
157,The University of Utah (Utah),United States of America (USA),515,138.079817
158,Utrecht University (UU),Netherlands,717,134.9632617
159,Wuhan University of Technology (WUT),China,303,134.1647233
160,Memorial Sloan Kettering Cancer Center (MSKCC),United States of America (USA),517,133.4476896
161,University of New South Wales (UNSW Sydney),Australia,608,132.4881132
162,Hebrew University of Jerusalem (HUJI),Israel,346,131.9593765
163,University of Geneva (UNIGE),Switzerland,503,131.368571
164,Ocean University of China (OUC),China,447,131.0646116
165,Uppsala University (UU),Sweden,722,130.7472106
166,Rice University,United States of America (USA),485,129.7158601
167,Shaanxi Normal University (SNNU),China,209,129.3301138
168,Sungkyunkwan University (SKKU),South Korea,558,128.4268171
169,Boston University (BU),United States of America (USA),801,128.0106568
170,Indian Institute of Science (IISc),India,252,127.021004
171,"University of Maryland, College Park (UMCP)",United States of America (USA),791,126.9587392
172,University of Münster (WWU),Germany,450,126.3856051
173,Nagoya University,Japan,465,124.9923959
174,Hokkaido University,Japan,357,124.0201346
175,Jiangsu University (JSU),China,257,123.8263345
176,National Institute for Health and Medical Research (INSERM),France,1520,123.6003937
177,Guangxi University (GXU),China,324,122.7053355
178,"Rutgers, The State University of New Jersey (RU)",United States of America (USA),680,122.1927403
179,Pohang University of Science and Technology (POSTECH),South Korea,374,122.1459887
180,University of Würzburg (JMU),Germany,447,121.9738519
181,Yunnan University (YNU),China,394,121.8038202
182,China Meteorological Administration (CMA),China,396,121.2539838
183,Tianjin University of Technology (TJUT),China,352,119.4988802
184,National Taiwan University (NTU),Taiwan,436,119.4555805
185,Georgia Institute of Technology (Georgia Tech),United States of America (USA),421,119.2983808
186,University of Groningen (RUG),Netherlands,554,118.688063
187,The University of Arizona (Arizona),United States of America (USA),639,118.3501683
188,National Institute for Materials Science (NIMS),Japan,515,117.4204354
189,The University of Sydney (USYD),Australia,668,117.0283197
190,University of Amsterdam (UvA),Netherlands,861,115.0791561
